,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
77,2024-07-22,0.0218347244975844,0.001362583623727,0.0156270516201804,0,GOOG,0.001362583623727,0.001362583623727,0,0.0218347244975844
78,2024-07-23,0.001362583623727,-0.0515800611031315,0.0045491963019985,0,GOOG,-0.0515800611031315,0.0,1,0.0
79,2024-07-24,-0.0515800611031315,-0.030334416073729,-0.0223377046126065,0,GOOG,0.0,0.0,0,-0.0515800611031315
80,2024-07-25,-0.030334416073729,-0.0028416487955091,-0.0255559096120327,0,GOOG,0.0,0.0,0,-0.0
81,2024-07-26,-0.0028416487955091,0.0144201446645586,-0.0066320204913993,0,GOOG,0.0,0.0144201446645586,0,-0.0
82,2024-07-29,0.0144201446645586,0.0042566653143956,0.0129506051913265,0,GOOG,0.0042566653143956,0.0042566653143956,1,0.0
83,2024-07-30,0.0042566653143956,0.0074780401620335,0.001750102453508,0,GOOG,0.0074780401620335,0.0074780401620335,1,0.0042566653143956
85,2024-07-02,0.0140989398549471,-0.0121232083361907,0.0245245179063785,0,AMZN,-0.0121232083361907,0.0,1,0.0140989398549471
86,2024-07-03,-0.0121232083361907,0.0121232083361908,-0.0107068661387847,0,AMZN,0.0,0.0121232083361908,0,-0.0121232083361907
87,2024-07-05,0.0121232083361908,-0.0035563498917093,0.0200978415936457,0,AMZN,-0.0035563498917093,0.0,1,0.0
88,2024-07-08,-0.0035563498917093,0.0002508745118111,0.0008625638318554,0,AMZN,0.0002508745118111,0.0002508745118111,0,-0.0035563498917093
89,2024-07-09,0.0002508745118111,0.0022548901390977,0.0006288015917384,0,AMZN,0.0022548901390977,0.0022548901390977,0,0.0
90,2024-07-10,0.0022548901390977,-0.0240108297085425,0.0016146055606037,0,AMZN,-0.0240108297085425,0.0,0,0.0
91,2024-07-11,-0.0240108297085425,-0.002875175499739,-0.0141355959380632,0,AMZN,0.0,0.0,0,-0.0
92,2024-07-12,-0.002875175499739,-0.0091424114582626,-0.0021332027012051,0,AMZN,0.0,0.0,0,-0.0
93,2024-07-15,-0.0091424114582626,0.0015554679731071,-0.0119929097542802,0,AMZN,0.0,0.0015554679731071,0,-0.0
94,2024-07-16,0.0015554679731071,-0.026724318518412,0.0011940495606919,0,AMZN,-0.026724318518412,0.0,1,0.0
95,2024-07-17,-0.026724318518412,-0.0224933760024409,-0.0142594304539485,0,AMZN,0.0,0.0,0,-0.026724318518412
96,2024-07-18,-0.0224933760024409,-0.0033798282769946,-0.0141827085489293,0,AMZN,0.0,0.0,0,-0.0
97,2024-07-19,-0.0033798282769946,-0.0031721849969251,-0.0028516468017323,0,AMZN,0.0,0.0,0,-0.0
98,2024-07-22,-0.0031721849969251,0.0209244437075831,-0.0025790975069367,0,AMZN,0.0,0.0209244437075831,0,-0.0
99,2024-07-23,0.0209244437075831,-0.0303911950038864,0.0222267817526819,0,AMZN,-0.0303911950038864,0.0,1,0.0
100,2024-07-24,-0.0303911950038864,-0.0054341694443897,-0.0133760872575621,0,AMZN,0.0,0.0,0,-0.0303911950038864
101,2024-07-25,-0.0054341694443897,0.0146269689442131,-0.0052749476782295,0,AMZN,0.0,0.0146269689442131,0,-0.0
102,2024-07-26,0.0146269689442131,0.0038282625594168,0.0224855853426774,0,AMZN,0.0038282625594168,0.0038282625594168,1,0.0
